url,normalized_url,path,query,type,source_page,anchor_text,status_code,final_url,is_parameter_url,suspected_duplicate_group,content_type,error
https://biocom.kr/shop_view/171,https://biocom.kr/shop_view/171,/shop_view/171,,category,sitemap,,200,https://biocom.kr/shop_view/171,false,https://biocom.kr/shop_view/171,text/html; charset=utf-8,
https://biocom.kr/shop_view/328,https://biocom.kr/shop_view/328,/shop_view/328,,category,sitemap,,200,https://biocom.kr/shop_view/328,false,https://biocom.kr/shop_view/328,text/html; charset=utf-8,
https://biocom.kr/shop_view/97,https://biocom.kr/shop_view/97,/shop_view/97,,category,sitemap,,200,https://biocom.kr/shop_view/97,false,https://biocom.kr/shop_view/97,text/html; charset=utf-8,
https://biocom.kr/shop_view/499,https://biocom.kr/shop_view/499,/shop_view/499,,category,sitemap,,200,https://biocom.kr/shop_view/499,false,https://biocom.kr/shop_view/499,text/html; charset=utf-8,
https://biocom.kr/shop_view/498,https://biocom.kr/shop_view/498,/shop_view/498,,category,sitemap,,200,https://biocom.kr/shop_view/498,false,https://biocom.kr/shop_view/498,text/html; charset=utf-8,
https://biocom.kr/shop_view/497,https://biocom.kr/shop_view/497,/shop_view/497,,category,sitemap,,200,https://biocom.kr/shop_view/497,false,https://biocom.kr/shop_view/497,text/html; charset=utf-8,
https://biocom.kr/shop_view/259,https://biocom.kr/shop_view/259,/shop_view/259,,category,sitemap,,200,https://biocom.kr/shop_view/259,false,https://biocom.kr/shop_view/259,text/html; charset=utf-8,
https://biocom.kr/shop_view/496,https://biocom.kr/shop_view/496,/shop_view/496,,category,sitemap,,200,https://biocom.kr/shop_view/496,false,https://biocom.kr/shop_view/496,text/html; charset=utf-8,
https://biocom.kr/shop_view/282,https://biocom.kr/shop_view/282,/shop_view/282,,category,sitemap,,200,https://biocom.kr/shop_view/282,false,https://biocom.kr/shop_view/282,text/html; charset=utf-8,
https://biocom.kr/shop_view/409,https://biocom.kr/shop_view/409,/shop_view/409,,category,sitemap,,200,https://biocom.kr/shop_view/409,false,https://biocom.kr/shop_view/409,text/html; charset=utf-8,
https://biocom.kr/shop_view/495,https://biocom.kr/shop_view/495,/shop_view/495,,category,sitemap,,200,https://biocom.kr/shop_view/495,false,https://biocom.kr/shop_view/495,text/html; charset=utf-8,
https://biocom.kr/shop_view/494,https://biocom.kr/shop_view/494,/shop_view/494,,category,sitemap,,200,https://biocom.kr/shop_view/494,false,https://biocom.kr/shop_view/494,text/html; charset=utf-8,
https://biocom.kr/shop_view/493,https://biocom.kr/shop_view/493,/shop_view/493,,category,sitemap,,200,https://biocom.kr/shop_view/493,false,https://biocom.kr/shop_view/493,text/html; charset=utf-8,
https://biocom.kr/shop_view/127,https://biocom.kr/shop_view/127,/shop_view/127,,category,sitemap,,200,https://biocom.kr/shop_view/127,false,https://biocom.kr/shop_view/127,text/html; charset=utf-8,
https://biocom.kr/shop_view/234,https://biocom.kr/shop_view/234,/shop_view/234,,category,sitemap,,200,https://biocom.kr/shop_view/234,false,https://biocom.kr/shop_view/234,text/html; charset=utf-8,
https://biocom.kr/shop_view/488,https://biocom.kr/shop_view/488,/shop_view/488,,category,sitemap,,200,https://biocom.kr/shop_view/488,false,https://biocom.kr/shop_view/488,text/html; charset=utf-8,
https://biocom.kr/shop_view/483,https://biocom.kr/shop_view/483,/shop_view/483,,category,sitemap,,200,https://biocom.kr/shop_view/483,false,https://biocom.kr/shop_view/483,text/html; charset=utf-8,
https://biocom.kr/shop_view/482,https://biocom.kr/shop_view/482,/shop_view/482,,category,sitemap,,200,https://biocom.kr/shop_view/482,false,https://biocom.kr/shop_view/482,text/html; charset=utf-8,
https://biocom.kr/shop_view/481,https://biocom.kr/shop_view/481,/shop_view/481,,category,sitemap,,200,https://biocom.kr/shop_view/481,false,https://biocom.kr/shop_view/481,text/html; charset=utf-8,
https://biocom.kr/shop_view/480,https://biocom.kr/shop_view/480,/shop_view/480,,category,sitemap,,200,https://biocom.kr/shop_view/480,false,https://biocom.kr/shop_view/480,text/html; charset=utf-8,
https://biocom.kr/shop_view/492,https://biocom.kr/shop_view/492,/shop_view/492,,category,sitemap,,200,https://biocom.kr/shop_view/492,false,https://biocom.kr/shop_view/492,text/html; charset=utf-8,
https://biocom.kr/shop_view/487,https://biocom.kr/shop_view/487,/shop_view/487,,category,sitemap,,200,https://biocom.kr/shop_view/487,false,https://biocom.kr/shop_view/487,text/html; charset=utf-8,
https://biocom.kr/shop_view/476,https://biocom.kr/shop_view/476,/shop_view/476,,category,sitemap,,200,https://biocom.kr/shop_view/476,false,https://biocom.kr/shop_view/476,text/html; charset=utf-8,
https://biocom.kr/shop_view/472,https://biocom.kr/shop_view/472,/shop_view/472,,category,sitemap,,200,https://biocom.kr/shop_view/472,false,https://biocom.kr/shop_view/472,text/html; charset=utf-8,
https://biocom.kr/shop_view/478,https://biocom.kr/shop_view/478,/shop_view/478,,category,sitemap,,200,https://biocom.kr/shop_view/478,false,https://biocom.kr/shop_view/478,text/html; charset=utf-8,
https://biocom.kr/shop_view/479,https://biocom.kr/shop_view/479,/shop_view/479,,category,sitemap,,200,https://biocom.kr/shop_view/479,false,https://biocom.kr/shop_view/479,text/html; charset=utf-8,
https://biocom.kr/shop_view/486,https://biocom.kr/shop_view/486,/shop_view/486,,category,sitemap,,200,https://biocom.kr/shop_view/486,false,https://biocom.kr/shop_view/486,text/html; charset=utf-8,
https://biocom.kr/shop_view/485,https://biocom.kr/shop_view/485,/shop_view/485,,category,sitemap,,200,https://biocom.kr/shop_view/485,false,https://biocom.kr/shop_view/485,text/html; charset=utf-8,
https://biocom.kr/shop_view/85,https://biocom.kr/shop_view/85,/shop_view/85,,category,sitemap,,200,https://biocom.kr/shop_view/85,false,https://biocom.kr/shop_view/85,text/html; charset=utf-8,
https://biocom.kr/shop_view/443,https://biocom.kr/shop_view/443,/shop_view/443,,category,sitemap,,200,https://biocom.kr/shop_view/443,false,https://biocom.kr/shop_view/443,text/html; charset=utf-8,
https://biocom.kr/shop_view/12,https://biocom.kr/shop_view/12,/shop_view/12,,category,sitemap,,200,https://biocom.kr/shop_view/12,false,https://biocom.kr/shop_view/12,text/html; charset=utf-8,
https://biocom.kr/shop_view/369,https://biocom.kr/shop_view/369,/shop_view/369,,category,sitemap,,200,https://biocom.kr/shop_view/369,false,https://biocom.kr/shop_view/369,text/html; charset=utf-8,
https://biocom.kr/shop_view/6,https://biocom.kr/shop_view/6,/shop_view/6,,category,sitemap,,200,https://biocom.kr/shop_view/6,false,https://biocom.kr/shop_view/6,text/html; charset=utf-8,
https://biocom.kr/shop_view/219,https://biocom.kr/shop_view/219,/shop_view/219,,category,sitemap,,200,https://biocom.kr/shop_view/219,false,https://biocom.kr/shop_view/219,text/html; charset=utf-8,
https://biocom.kr/shop_view/279,https://biocom.kr/shop_view/279,/shop_view/279,,category,sitemap,,200,https://biocom.kr/shop_view/279,false,https://biocom.kr/shop_view/279,text/html; charset=utf-8,
https://biocom.kr/shop_view/173,https://biocom.kr/shop_view/173,/shop_view/173,,category,sitemap,,200,https://biocom.kr/shop_view/173,false,https://biocom.kr/shop_view/173,text/html; charset=utf-8,
https://biocom.kr/shop_view/225,https://biocom.kr/shop_view/225,/shop_view/225,,category,sitemap,,200,https://biocom.kr/shop_view/225,false,https://biocom.kr/shop_view/225,text/html; charset=utf-8,
https://biocom.kr/shop_view/198,https://biocom.kr/shop_view/198,/shop_view/198,,category,sitemap,,200,https://biocom.kr/shop_view/198,false,https://biocom.kr/shop_view/198,text/html; charset=utf-8,
https://biocom.kr/shop_view/172,https://biocom.kr/shop_view/172,/shop_view/172,,category,sitemap,,200,https://biocom.kr/shop_view/172,false,https://biocom.kr/shop_view/172,text/html; charset=utf-8,
